,V1,V2
1,1,813
2,5,730
3,5,1
4,6,1320
5,7,1531
6,11,848
7,20,914
8,21,1502
9,25,1291
10,27,1605
11,28,846
12,31,805
13,31,1132
14,31,1188
15,31,1186
16,36,773
17,36,320
18,36,34
19,38,559
20,38,0
21,39,314
22,41,960
23,45,1488
24,46,1117
25,49,1747
26,56,827
27,58,1663
28,63,1523
29,64,986
30,64,1472
31,64,832
32,69,1181
33,72,1152
34,72,1189
35,72,1148
36,73,109
37,74,1538
38,74,1002
39,78,1160
40,79,1665
41,84,22
42,86,1605
43,87,821
44,88,1663
45,89,1272
46,89,1126
47,89,914
48,91,954
49,92,815
50,94,911
51,96,1523
52,96,1142
53,99,1141
54,99,838
55,101,1517
56,106,815
57,106,824
58,106,1532
59,109,966
60,109,1372
61,110,576
62,110,559
63,113,1157
64,117,577
65,120,810
66,124,1206
67,124,1280
68,126,1152
69,127,1506
70,128,1258
71,130,1498
72,136,928
73,137,904
74,139,1515
75,142,1004
76,144,1698
77,144,1554
78,149,1482
79,154,1219
80,156,1600
81,156,1225
82,158,1472
83,158,814
84,164,975
85,165,1603
86,165,1577
87,165,813
88,165,41
89,166,849
90,167,571
91,168,917
92,170,821
93,170,6
94,174,1535
95,177,1537
96,179,23
97,179,651
98,179,641
99,179,1687
100,181,277
101,181,780
102,182,300
103,185,1614
104,185,1522
105,187,1206
106,190,1465
107,192,1150
108,193,577
109,193,334
110,194,954
111,196,354
112,196,22
113,197,1512
114,197,1233
115,197,899
116,199,1164
117,202,970
118,203,1572
119,204,16
120,204,1687
121,210,906
122,211,468
123,215,1726
124,217,373
125,220,1188
126,222,780
127,222,1723
128,222,277
129,226,1471
130,229,1535
131,229,929
132,229,938
133,229,1519
134,230,615
135,230,1687
136,230,651
137,235,1506
138,237,929
139,238,1191
140,238,894
141,239,316
142,240,1538
143,242,1440
144,243,1312
145,245,282
146,245,944
147,245,604
148,249,1053
149,250,1703
150,250,118
151,250,319
152,251,953
153,252,1747
154,259,1822
155,261,1297
156,263,1041
157,265,1154
158,266,1030
159,267,1596
160,283,1138
161,284,23
162,287,1551
163,289,1321
164,294,1510
165,294,1215
166,295,1055
167,295,1665
168,297,273
169,301,1838
170,301,1068
171,303,1143
172,308,1795
173,308,703
174,308,480
175,309,1495
176,311,353
177,312,843
178,313,1325
179,313,588
180,314,1581
181,317,485
182,320,917
183,324,1202
184,324,1191
185,329,125
186,330,1
187,330,96
188,330,574
189,330,133
190,335,1262
191,335,1300
192,337,67
193,339,1177
194,341,1502
195,341,1188
196,342,1471
197,342,907
198,357,615
199,357,411
200,357,703
201,357,1687
202,359,1031
203,360,230
204,360,615
205,362,1227
206,363,488
207,363,153
208,363,412
209,364,67
210,365,1068
211,365,1655
212,366,1503
213,371,67
214,376,1373
215,378,1614
216,378,1480
217,378,1522
218,378,1371
219,383,23
220,383,108
221,383,651
222,383,249
223,383,641
224,387,745
225,388,1270
226,388,1198
227,390,1784
228,390,102
229,394,1016
230,395,1730
231,395,215
232,396,717
233,397,1105
234,397,1707
235,398,599
236,401,1492
237,401,1670
238,402,108
239,404,1085
240,407,1684
241,408,1693
242,409,1643
243,410,1818
244,410,67
245,411,842
246,423,1264
247,427,1599
248,428,1270
249,431,1177
250,433,844
251,433,1177
252,440,16
253,445,1532
254,446,649
255,449,1352
256,450,1722
257,450,1210
258,453,1714
259,456,230
260,463,1818
261,465,1761
262,465,1769
263,466,1239
264,469,882
265,472,1041
266,472,315
267,474,1818
268,475,1769
269,476,1814
270,487,1326
271,490,1071
272,491,899
273,494,1363
274,495,1616
275,496,287
276,497,419
277,501,1435
278,503,1352
279,503,1394
280,507,179
281,510,1493
282,519,838
283,519,1649
284,523,89
285,525,562
286,529,1487
287,529,848
288,530,851
289,530,1460
290,531,838
291,532,1250
292,542,862
293,548,17
294,548,945
295,550,1197
296,555,1699
297,555,1611
298,555,1341
299,555,930
300,555,1143
301,558,1117
302,558,1159
303,558,1456
304,558,822
305,559,1626
306,559,1607
307,562,1576
308,565,99
309,570,958
310,571,893
311,572,1532
312,573,1299
313,584,1152
314,584,911
315,584,1785
316,584,1496
317,586,278
318,586,1181
319,586,821
320,589,1270
321,595,863
322,601,1
323,601,643
324,602,1456
325,602,1512
326,604,320
327,605,1576
328,606,1605
329,606,1154
330,608,928
331,609,911
332,609,917
333,611,1234
334,613,822
335,617,576
336,618,153
337,618,245
338,618,561
339,618,334
340,620,1160
341,623,829
342,623,911
343,629,917
344,633,1551
345,633,829
346,635,863
347,637,320
348,637,282
349,638,1498
350,639,1263
351,641,1254
352,641,1053
353,641,1616
354,644,1715
355,644,936
356,644,1498
357,645,824
358,646,1181
359,646,1576
360,650,914
361,650,1465
362,651,604
363,651,138
364,651,96
365,655,1239
366,659,1228
367,660,1202
368,663,832
369,663,851
370,663,1472
371,663,1168
372,666,1548
373,666,1536
374,667,1308
375,667,851
376,669,822
377,670,914
378,671,1181
379,672,258
380,672,642
381,673,893
382,673,814
383,673,1315
384,674,900
385,676,1185
386,682,851
387,682,836
388,682,1486
389,682,1605
390,683,914
391,688,1465
392,688,1176
393,693,1783
394,696,713
395,697,1413
396,697,1721
397,699,1159
398,700,1197
399,702,282
400,702,808
401,702,34
402,703,1488
403,704,1159
404,704,1667
405,710,1591
406,710,950
407,716,1275
408,720,921
409,731,815
410,736,844
411,739,1591
412,746,1338
413,748,1050
414,754,1185
415,755,561
416,755,1
417,757,1155
418,761,1165
419,764,1314
420,765,1493
421,768,1215
422,768,936
423,768,1553
424,768,1263
425,769,1294
426,770,917
427,770,1495
428,771,1536
429,771,1312
430,772,356
431,774,1540
432,776,883
433,779,1315
434,780,1509
435,780,1139
436,780,1496
437,785,883
438,787,1254
439,787,1011
440,793,273
441,793,848
442,793,1432
443,793,1141
444,797,1472
445,806,1465
446,816,1332
447,816,1065
448,816,1623
449,817,621
450,821,1138
451,822,1371
452,825,1011
453,825,1254
454,826,891
455,826,1139
456,827,824
457,829,848
458,830,1126
459,833,883
460,834,1159
461,835,1067
462,840,1607
463,842,1683
464,842,1350
465,843,1707
466,850,1263
467,852,1563
468,854,1055
469,855,1280
470,855,1211
471,856,1619
472,860,1496
473,861,1491
474,865,938
475,866,745
476,868,1265
477,870,0
478,871,1263
479,871,1553
480,873,1292
481,873,1653
482,873,1493
483,874,590
484,880,1171
485,881,1533
486,881,972
487,884,1286
488,886,334
489,886,621
490,887,1591
491,892,42
492,897,447
493,897,1101
494,900,1480
495,901,842
496,903,1510
497,903,559
498,908,504
499,910,1721
500,914,973
501,914,1641
502,915,1338
503,916,1498
504,916,940
505,916,1265
506,917,1638
507,918,108
508,918,249
509,920,929
510,922,824
511,922,278
512,922,1536
513,923,1239
514,935,739
515,935,468
516,941,386
517,943,483
518,945,1698
519,947,952
520,948,1165
521,948,1525
522,948,817
523,950,1068
524,950,568
525,950,1655
526,952,985
527,953,62
528,954,1818
529,955,812
530,956,247
531,962,77
532,962,724
533,964,1777
534,964,1254
535,964,374
536,964,410
537,966,266
538,968,1228
539,970,447
540,972,1645
541,975,585
542,983,542
543,985,1394
544,986,1515
545,987,829
546,987,1029
547,987,1581
548,988,968
549,989,215
550,990,151
551,991,1362
552,998,68
553,1002,1495
554,1003,200
555,1003,269
556,1003,516
557,1003,1041
