,V1,V2
1,0,0
2,0,805
3,0,1171
4,0,20
5,1,1
6,1,285
7,1,277
8,1,944
9,2,2
10,2,41
11,2,584
12,3,3
13,3,332
14,3,584
15,3,1106
16,3,381
17,4,4
18,4,1466
19,4,278
20,4,20
21,5,5
22,5,1476
23,5,1489
24,6,6
25,6,1132
26,6,302
27,7,7
28,7,1463
29,7,1507
30,7,278
31,8,8
32,8,48
33,9,9
34,9,575
35,9,634
36,9,573
37,9,321
38,10,10
39,10,565
40,10,560
41,11,11
42,11,623
43,12,12
44,12,1199
45,12,902
46,12,1469
47,13,13
48,13,476
49,13,1338
50,13,1327
51,14,14
52,14,83
53,14,336
54,14,571
55,15,15
56,15,1641
57,16,16
58,16,703
59,16,1764
60,16,77
61,17,17
62,18,18
63,19,19
64,19,624
65,19,225
66,20,20
67,20,0
68,20,4
69,20,278
70,20,1466
71,21,21
72,21,366
73,21,69
74,22,22
75,22,89
76,22,354
77,23,23
78,23,585
79,23,641
80,23,651
81,24,24
82,24,346
83,24,315
84,24,231
85,25,25
86,25,773
87,25,334
88,26,26
89,26,834
90,26,808
91,26,34
92,26,295
93,27,27
94,27,865
95,27,310
96,28,28
97,28,614
98,28,327
99,28,339
100,29,29
101,29,630
102,30,30
103,31,31
104,32,32
105,33,33
106,34,34
107,34,572
108,34,281
109,34,295
110,34,26
111,35,35
112,35,1302
113,35,292
114,36,36
115,36,260
116,36,83
117,37,37
118,37,1024
119,38,38
120,38,188
121,38,663
122,39,39
123,39,307
124,39,666
125,39,302
126,39,226
127,40,40
128,41,41
129,41,2
130,41,332
131,41,608
132,42,42
133,42,1325
134,42,1394
135,42,1281
136,42,287
137,43,43
138,43,169
139,43,624
140,43,590
141,43,618
142,44,44
143,44,335
144,45,45
145,45,146
146,46,46
147,46,595
148,46,297
149,46,292
150,47,47
151,48,48
152,48,323
153,48,8
154,49,49
155,49,164
156,50,50
157,50,372
158,51,51
159,51,299
160,51,1784
161,52,52
162,52,293
163,53,53
164,53,297
165,54,54
166,54,687
167,55,55
168,55,65
169,55,628
170,56,56
171,56,319
172,56,1391
173,56,300
174,57,57
175,57,68
176,57,153
177,58,58
178,59,59
179,59,543
180,60,60
181,60,599
182,61,61
183,61,151
184,61,153
185,62,62
186,63,63
187,63,825
188,64,64
189,64,329
190,65,65
191,65,55
192,65,628
193,65,587
194,66,66
195,66,598
196,66,352
197,67,67
198,67,438
199,67,315
200,67,71
201,68,68
202,68,57
203,68,519
204,69,69
205,69,663
206,69,135
207,69,21
208,69,751
209,70,70
210,70,415
211,70,226
212,70,416
213,71,71
214,71,1325
215,71,67
216,71,1101
217,72,72
218,72,47
219,72,1056
220,72,140
221,73,73
222,73,123
223,74,74
224,74,336
225,74,634
226,75,75
227,76,76
228,76,634
229,77,77
230,77,724
231,77,1687
232,77,16
233,77,230
234,78,78
235,79,79
236,79,595
237,80,80
238,80,628
239,81,81
240,81,676
241,81,1832
242,81,214
243,82,82
244,83,83
245,83,439
246,83,14
247,83,36
248,83,631
249,84,84
250,85,85
251,85,97
252,85,340
253,85,1664
254,86,86
255,86,628
256,86,594
257,86,290
258,86,345
259,87,87
260,87,326
261,87,626
262,87,490
263,88,88
264,88,719
265,89,89
266,89,1649
267,89,22
268,89,1299
269,90,90
270,90,564
271,90,660
272,90,613
273,91,91
274,91,632
275,91,348
276,92,92
277,92,308
278,93,93
279,93,798
280,94,94
281,95,95
282,96,96
283,96,419
284,96,752
285,97,97
286,97,85
287,97,1664
288,97,571
289,97,173
290,98,98
291,99,99
292,99,633
293,100,100
294,100,739
295,100,269
296,100,564
297,101,101
298,101,58
299,102,102
300,102,1348
301,102,1655
302,103,103
303,104,104
304,105,105
305,106,106
306,107,107
307,108,108
308,109,109
309,109,762
310,110,110
311,110,367
312,111,111
313,111,308
314,112,112
315,113,113
316,113,179
317,113,400
318,113,1089
319,114,114
320,115,115
321,116,116
322,117,117
323,118,118
324,119,119
325,120,120
326,120,1445
327,120,797
328,121,121
329,121,1426
330,121,764
331,122,122
332,122,410
333,123,123
334,123,329
335,123,73
336,124,124
337,125,125
338,126,126
339,126,372
340,127,127
341,127,104
342,128,128
343,128,425
344,128,328
345,129,129
346,130,130
347,130,459
348,130,654
349,130,350
350,130,318
351,131,131
352,131,573
353,132,132
354,132,437
355,132,784
356,132,308
357,132,169
358,133,133
359,133,1222
360,133,421
361,134,134
362,134,499
363,135,135
364,135,751
365,135,69
366,135,376
367,136,136
368,137,137
369,138,138
370,138,709
371,138,604
372,138,730
373,138,162
374,139,139
375,139,597
376,139,441
377,140,140
378,140,1671
379,140,72
380,141,141
381,141,123
382,142,142
383,142,301
384,142,665
385,143,143
386,143,725
387,144,144
388,144,699
389,144,486
390,144,691
391,145,145
392,146,146
393,146,482
394,147,147
395,147,442
396,147,673
397,147,384
398,147,66
399,148,148
400,149,149
401,150,150
402,151,151
403,151,798
404,151,61
405,152,152
406,153,153
407,153,61
408,153,57
409,154,154
410,155,155
411,155,426
412,155,317
413,156,156
414,157,157
415,157,502
416,158,158
417,158,347
418,158,1350
419,158,367
420,159,159
421,159,406
422,159,202
423,159,499
424,160,160
425,161,161
426,161,371
427,162,162
428,162,246
429,162,709
430,162,488
431,162,138
432,163,163
433,163,1026
434,163,1445
435,164,164
436,164,49
437,164,496
438,165,165
439,165,333
440,166,166
441,166,236
442,167,167
443,167,459
444,167,755
445,168,168
446,168,611
447,168,341
448,169,169
449,169,43
450,169,1427
451,169,170
452,169,132
453,170,170
454,170,639
455,170,590
456,170,169
457,171,171
458,172,172
459,172,285
460,173,173
461,173,571
462,173,323
463,173,97
464,174,174
465,174,126
466,175,175
467,176,176
468,176,414
469,177,177
470,177,1710
471,178,178
472,179,179
473,179,113
474,180,180
475,181,181
476,181,182
477,181,263
478,182,182
479,182,700
480,183,183
481,184,184
482,184,324
483,184,671
484,185,185
485,186,186
486,186,466
487,187,187
488,188,188
489,188,38
490,188,590
491,188,656
492,188,663
493,189,189
494,189,252
495,189,716
496,190,190
497,190,704
498,191,191
499,191,730
500,191,709
501,192,192
502,193,193
503,194,194
504,195,195
505,196,196
506,197,197
507,197,398
508,198,198
509,198,404
510,198,700
511,198,502
512,198,783
513,199,199
514,199,266
515,199,770
516,200,200
517,200,516
518,200,269
519,200,652
520,201,201
521,202,202
522,202,159
523,202,406
524,203,203
525,204,204
526,204,615
527,204,485
528,205,205
529,205,346
530,206,206
531,206,694
532,206,196
533,206,616
534,207,207
535,208,208
536,208,581
537,209,209
538,210,210
539,210,255
540,210,434
541,211,211
542,211,692
543,211,33
544,211,1466
545,211,490
546,212,212
547,212,286
548,212,574
549,212,285
550,212,591
551,213,213
552,213,1666
553,214,214
554,214,596
555,214,81
556,215,215
557,215,237
558,215,437
559,216,216
560,217,217
561,218,218
562,218,149
563,218,740
564,218,473
565,219,219
566,219,726
567,220,220
568,220,1171
569,221,221
570,222,222
571,222,1832
572,222,422
573,223,223
574,223,259
575,223,655
576,224,224
577,224,408
578,225,225
579,225,19
580,225,476
581,226,226
582,226,70
583,226,39
584,227,227
585,227,1065
586,228,228
587,228,309
588,229,229
589,229,1085
590,230,230
591,230,1113
592,230,495
593,230,1687
594,230,77
595,231,231
596,231,660
597,231,24
598,231,315
599,232,232
600,232,674
601,232,538
602,233,233
603,233,1082
604,234,234
605,235,235
606,235,436
607,236,236
608,236,1390
609,236,166
610,237,237
611,237,637
612,237,215
613,238,238
614,239,239
615,239,535
616,240,240
617,240,553
618,240,473
619,241,241
620,241,478
621,241,732
622,242,242
623,242,728
624,243,243
625,243,983
626,244,244
627,245,245
628,245,729
629,245,501
630,246,246
631,246,162
632,246,800
633,246,709
634,247,247
635,248,248
636,249,249
637,249,435
638,249,485
639,249,1807
640,249,1819
641,250,250
642,250,403
643,250,494
644,251,251
645,251,801
646,251,682
647,252,252
648,252,189
649,252,525
650,253,253
651,253,326
652,254,254
653,255,255
654,256,256
655,257,257
656,257,487
657,258,258
658,259,259
659,259,223
660,260,260
661,260,36
662,261,261
663,261,722
664,262,262
665,263,263
666,263,783
667,264,264
668,264,1750
669,265,265
670,266,266
671,266,788
672,266,199
673,266,436
674,267,267
675,268,268
676,268,1069
677,268,550
678,269,269
679,269,516
680,269,652
681,269,200
682,269,100
683,270,270
684,271,271
685,271,518
686,272,272
687,272,847
688,272,890
689,273,273
690,273,1026
691,273,1203
692,273,1150
693,274,274
694,274,1149
695,275,275
696,275,306
697,276,276
698,276,1562
699,276,1129
700,277,277
701,277,944
702,277,1
703,277,285
704,278,278
705,278,4
706,278,7
707,278,1466
708,278,20
709,279,279
710,279,1167
711,279,1166
712,280,280
713,280,334
714,280,569
715,281,281
716,281,34
717,281,572
718,282,282
719,282,314
720,283,283
721,284,284
722,284,330
723,284,1158
724,284,1067
725,285,285
726,285,1
727,285,172
728,285,277
729,285,212
730,286,286
731,286,212
732,286,591
